ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of
AllenDend:CS202002270_27	Integrated 27 - CS202002270_27	L6 IT_2 - CS202002270_27	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_59	L6 IT_2		L6 IT_2	L6 IT_2	Integrated 27			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L6 IT_2"", ""original_label"": ""L6 IT_2"", ""cell_set_label"": ""Integrated 27"", ""cell_set_accession"": ""CS202002270_27"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_27
AllenDend:CS202002270_28	Integrated 28 - CS202002270_28	L5 IT_1 - CS202002270_28	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_59	L5 IT_1		L5 IT_1	L5 IT_1	Integrated 28			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L5 IT_1"", ""original_label"": ""L5 IT_1"", ""cell_set_label"": ""Integrated 28"", ""cell_set_accession"": ""CS202002270_28"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_28
AllenDend:CS202002270_29	Integrated 29 - CS202002270_29	L5 IT_2 - CS202002270_29	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_59	L5 IT_2		L5 IT_2	L5 IT_2	Integrated 29			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L5 IT_2"", ""original_label"": ""L5 IT_2"", ""cell_set_label"": ""Integrated 29"", ""cell_set_accession"": ""CS202002270_29"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_29
AllenDend:CS202002270_30	Integrated 30 - CS202002270_30	L5 IT_3 - CS202002270_30	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_59	L5 IT_3		L5 IT_3	L5 IT_3	Integrated 30			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L5 IT_3"", ""original_label"": ""L5 IT_3"", ""cell_set_label"": ""Integrated 30"", ""cell_set_accession"": ""CS202002270_30"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_30
AllenDend:CS202002270_31	Integrated 31 - CS202002270_31	L6 IT_3 - CS202002270_31	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_59	L6 IT_3		L6 IT_3	L6 IT_3	Integrated 31			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L6 IT_3"", ""original_label"": ""L6 IT_3"", ""cell_set_label"": ""Integrated 31"", ""cell_set_accession"": ""CS202002270_31"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_31
AllenDend:CS202002270_32	Integrated 32 - CS202002270_32	L5 ET_1 - CS202002270_32	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_53	L5 ET_1		L5 ET_1	L5 ET_1	Integrated 32			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L5 ET_1"", ""original_label"": ""L5 ET_1"", ""cell_set_label"": ""Integrated 32"", ""cell_set_accession"": ""CS202002270_32"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_32
AllenDend:CS202002270_33	Integrated 33 - CS202002270_33	L5 ET_2 - CS202002270_33	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_53	L5 ET_2		L5 ET_2	L5 ET_2	Integrated 33			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L5 ET_2"", ""original_label"": ""L5 ET_2"", ""cell_set_label"": ""Integrated 33"", ""cell_set_accession"": ""CS202002270_33"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_33
AllenDend:CS202002270_34	Integrated 34 - CS202002270_34	L6 CT_1 - CS202002270_34	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_60	L6 CT_1		L6 CT_1	L6 CT_1	Integrated 34			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L6 CT_1"", ""original_label"": ""L6 CT_1"", ""cell_set_label"": ""Integrated 34"", ""cell_set_accession"": ""CS202002270_34"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_34
AllenDend:CS202002270_35	Integrated 35 - CS202002270_35	L6 CT_2 - CS202002270_35	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_60	L6 CT_2		L6 CT_2	L6 CT_2	Integrated 35			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L6 CT_2"", ""original_label"": ""L6 CT_2"", ""cell_set_label"": ""Integrated 35"", ""cell_set_accession"": ""CS202002270_35"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_35
AllenDend:CS202002270_36	Integrated 36 - CS202002270_36	L6b - CS202002270_36	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_60	L6b|L6b		L6b	L6b	Integrated 36	L6b		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L6b"", ""original_label"": ""L6b"", ""cell_set_label"": ""Integrated 36"", ""cell_set_accession"": ""CS202002270_36"", ""cell_set_aligned_alias"": ""L6b"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36
AllenDend:CS202002270_37	Integrated 37 - CS202002270_37	L5/6 NP - CS202002270_37	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_60	L5/6 NP		L5/6 NP	L5/6 NP	Integrated 37			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L5/6 NP"", ""original_label"": ""L5/6 NP"", ""cell_set_label"": ""Integrated 37"", ""cell_set_accession"": ""CS202002270_37"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_37
AllenDend:CS202002270_38	Integrated 38 - CS202002270_38	OPC - CS202002270_38	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_61	OPC|OPC		OPC	OPC	Integrated 38	OPC		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""OPC"", ""original_label"": ""OPC"", ""cell_set_label"": ""Integrated 38"", ""cell_set_accession"": ""CS202002270_38"", ""cell_set_aligned_alias"": ""OPC"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_38
AllenDend:CS202002270_39	Integrated 39 - CS202002270_39	Astro_1 - CS202002270_39	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_55	Astro_1|ILA / fibrous astrocyte		Astro_1	Astro_1	Integrated 39		ILA / fibrous astrocyte	Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Astro_1"", ""original_label"": ""Astro_1"", ""cell_set_label"": ""Integrated 39"", ""cell_set_accession"": ""CS202002270_39"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""ILA / fibrous astrocyte"", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_39
AllenDend:CS202002270_40	Integrated 40 - CS202002270_40	Astro_2 - CS202002270_40	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_55	Astro_2|Protoplasmic astrocyte		Astro_2	Astro_2	Integrated 40		Protoplasmic astrocyte	Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Astro_2"", ""original_label"": ""Astro_2"", ""cell_set_label"": ""Integrated 40"", ""cell_set_accession"": ""CS202002270_40"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""Protoplasmic astrocyte"", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_40
AllenDend:CS202002270_41	Integrated 41 - CS202002270_41	Oligo_1 - CS202002270_41	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_56	Oligo_1		Oligo_1	Oligo_1	Integrated 41			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Oligo_1"", ""original_label"": ""Oligo_1"", ""cell_set_label"": ""Integrated 41"", ""cell_set_accession"": ""CS202002270_41"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_41
AllenDend:CS202002270_42	Integrated 42 - CS202002270_42	Oligo_2 - CS202002270_42	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_56	Oligo_2		Oligo_2	Oligo_2	Integrated 42			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Oligo_2"", ""original_label"": ""Oligo_2"", ""cell_set_label"": ""Integrated 42"", ""cell_set_accession"": ""CS202002270_42"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_42
AllenDend:CS202002270_43	Integrated 43 - CS202002270_43	Endo - CS202002270_43	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_62	Endo|Endothelial		Endo	Endo	Integrated 43	Endothelial		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Endo"", ""original_label"": ""Endo"", ""cell_set_label"": ""Integrated 43"", ""cell_set_accession"": ""CS202002270_43"", ""cell_set_aligned_alias"": ""Endothelial"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_43
AllenDend:CS202002270_44	Integrated 44 - CS202002270_44	VLMC - CS202002270_44	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_62	VLMC|VLMC		VLMC	VLMC	Integrated 44	VLMC		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""VLMC"", ""original_label"": ""VLMC"", ""cell_set_label"": ""Integrated 44"", ""cell_set_accession"": ""CS202002270_44"", ""cell_set_aligned_alias"": ""VLMC"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_44
AllenDend:CS202002270_45	Integrated 45 - CS202002270_45	Microglia/PVM - CS202002270_45	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_62	Microglia/PVM|Microglia-PVM		Microglia/PVM	Microglia/PVM	Integrated 45	Microglia-PVM		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Microglia/PVM"", ""original_label"": ""Microglia/PVM"", ""cell_set_label"": ""Integrated 45"", ""cell_set_accession"": ""CS202002270_45"", ""cell_set_aligned_alias"": ""Microglia-PVM"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_45
AllenDend:CS202002270_53	Integrated 32-33 - CS202002270_53	L5 ET - CS202002270_53	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_60	L5 ET|L5 ET|Betz|L5 PT		L5 ET	L5 ET	Integrated 32-33	L5 ET	Betz|L5 PT	Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L5 ET"", ""original_label"": ""L5 ET"", ""cell_set_label"": ""Integrated 32-33"", ""cell_set_accession"": ""CS202002270_53"", ""cell_set_aligned_alias"": ""L5 ET"", ""cell_set_additional_aliases"": ""Betz|L5 PT"", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": ""CS202002270_32|CS202002270_33"", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53
AllenDend:CS202002270_55	Integrated 39-40 - CS202002270_55	Astro - CS202002270_55	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_65	Astro|Astrocyte		Astro	Astro	Integrated 39-40	Astrocyte		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Astro"", ""original_label"": ""Astro"", ""cell_set_label"": ""Integrated 39-40"", ""cell_set_accession"": ""CS202002270_55"", ""cell_set_aligned_alias"": ""Astrocyte"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": ""CS202002270_39|CS202002270_40"", ""cell_type_card"": ""No""}"	
AllenDend:CS202002270_56	Integrated 41-42 - CS202002270_56	Oligo - CS202002270_56	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_61	Oligo|Oligodendrocyte		Oligo	Oligo	Integrated 41-42	Oligodendrocyte		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Oligo"", ""original_label"": ""Oligo"", ""cell_set_label"": ""Integrated 41-42"", ""cell_set_accession"": ""CS202002270_56"", ""cell_set_aligned_alias"": ""Oligodendrocyte"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": ""CS202002270_41|CS202002270_42"", ""cell_type_card"": ""No""}"	
AllenDend:CS202002270_57	Integrated 01-13 - CS202002270_57	CGE/PoA - CS202002270_57	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_63	CGE/PoA|CGE/PoA		CGE/PoA	CGE/PoA	Integrated 01-13	CGE/PoA		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""CGE/PoA"", ""original_label"": ""CGE/PoA"", ""cell_set_label"": ""Integrated 01-13"", ""cell_set_accession"": ""CS202002270_57"", ""cell_set_aligned_alias"": ""CGE/PoA"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": ""CS202002270_1|CS202002270_2|CS202002270_3|CS202002270_4|CS202002270_5|CS202002270_6|CS202002270_7|CS202002270_8|CS202002270_9|CS202002270_10|CS202002270_11|CS202002270_12|CS202002270_13"", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57
AllenDend:CS202002270_58	Integrated 14-24 - CS202002270_58	MGE - CS202002270_58	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_63	MGE|MGE		MGE	MGE	Integrated 14-24	MGE		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""MGE"", ""original_label"": ""MGE"", ""cell_set_label"": ""Integrated 14-24"", ""cell_set_accession"": ""CS202002270_58"", ""cell_set_aligned_alias"": ""MGE"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": ""CS202002270_14|CS202002270_15|CS202002270_16|CS202002270_17|CS202002270_18|CS202002270_19|CS202002270_20|CS202002270_21|CS202002270_22|CS202002270_23|CS202002270_24"", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58
AllenDend:CS202002270_59	Integrated 25-31 - CS202002270_59	IT projecting - CS202002270_59	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_64	IT projecting|IT projecting		IT projecting	IT projecting	Integrated 25-31	IT projecting		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""IT projecting"", ""original_label"": ""IT projecting"", ""cell_set_label"": ""Integrated 25-31"", ""cell_set_accession"": ""CS202002270_59"", ""cell_set_aligned_alias"": ""IT projecting"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": ""CS202002270_25|CS202002270_26|CS202002270_27|CS202002270_28|CS202002270_29|CS202002270_30|CS202002270_31"", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59
AllenDend:CS202002270_60	Integrated 32-37 - CS202002270_60	Non-IT projecting - CS202002270_60	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_64	Non-IT projecting|Non-IT projecting		Non-IT projecting	Non-IT projecting	Integrated 32-37	Non-IT projecting		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Non-IT projecting"", ""original_label"": ""Non-IT projecting"", ""cell_set_label"": ""Integrated 32-37"", ""cell_set_accession"": ""CS202002270_60"", ""cell_set_aligned_alias"": ""Non-IT projecting"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": ""CS202002270_32|CS202002270_33|CS202002270_34|CS202002270_35|CS202002270_36|CS202002270_37"", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60
