cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
L6b,L6b,SCF 30-34,CS202002011_101,L6b,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_30|CS202002011_31|CS202002011_32|CS202002011_33|CS202002011_34
L6b Shisa6,L6b Shisa6,SCF 30-31,CS202002011_102,,RNAseq 082-083 in CCN202002013,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_30|CS202002011_31
L6b Kcnip1,L6b Kcnip1,SCF 33-34,CS202002011_103,,RNAseq 085 in CCN202002013,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_33|CS202002011_34
Pvalb,Pvalb,SCF 35-38,CS202002011_104,Pvalb,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_35|CS202002011_36|CS202002011_37|CS202002011_38
Sst,Sst,SCF 39-44,CS202002011_105,Sst,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_39|CS202002011_40|CS202002011_41|CS202002011_42|CS202002011_43|CS202002011_44
Sst Crhr2,Sst Crhr2,SCF 40-41,CS202002011_106,,RNAseq 036-037 in CCN202002013,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_40|CS202002011_41
Lamp5,Lamp5,SCF 45-48,CS202002011_107,Lamp5,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_45|CS202002011_46|CS202002011_47|CS202002011_48
Sncg,Sncg,SCF 49-50,CS202002011_108,Sncg,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_49|CS202002011_50
Vip,Vip,SCF 51-56,CS202002011_109,Vip,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_51|CS202002011_52|CS202002011_53|CS202002011_54|CS202002011_55|CS202002011_56
,All cells,SCF 01-85,CS202002011_110,,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_1|CS202002011_2|CS202002011_3|CS202002011_4|CS202002011_5|CS202002011_6|CS202002011_7|CS202002011_8|CS202002011_9|CS202002011_10|CS202002011_11|CS202002011_12|CS202002011_13|CS202002011_14|CS202002011_15|CS202002011_16|CS202002011_17|CS202002011_18|CS202002011_19|CS202002011_20|CS202002011_21|CS202002011_22|CS202002011_23|CS202002011_24|CS202002011_25|CS202002011_26|CS202002011_27|CS202002011_28|CS202002011_29|CS202002011_30|CS202002011_31|CS202002011_32|CS202002011_33|CS202002011_34|CS202002011_35|CS202002011_36|CS202002011_37|CS202002011_38|CS202002011_39|CS202002011_40|CS202002011_41|CS202002011_42|CS202002011_43|CS202002011_44|CS202002011_45|CS202002011_46|CS202002011_47|CS202002011_48|CS202002011_49|CS202002011_50|CS202002011_51|CS202002011_52|CS202002011_53|CS202002011_54|CS202002011_55|CS202002011_56|CS202002011_57|CS202002011_58|CS202002011_59|CS202002011_60|CS202002011_61|CS202002011_62|CS202002011_63|CS202002011_64|CS202002011_65|CS202002011_66|CS202002011_67|CS202002011_68|CS202002011_69|CS202002011_70|CS202002011_71|CS202002011_72|CS202002011_73|CS202002011_74|CS202002011_75|CS202002011_76|CS202002011_77|CS202002011_78|CS202002011_79|CS202002011_80|CS202002011_81|CS202002011_82|CS202002011_83|CS202002011_84|CS202002011_85
