cell_set_preferred_alias,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_aliases,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,species,modality,taxonomy_id,taxonomy_description,child_cell_set_accessions,cell_type_card,original_label,cell_set_color
(Mouse L5 IT)-like,"RNAseq 57-58, 61-68",CS201912132_101,L5 IT,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_57|CS201912132_58|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68,Subclass,,#50B2AD
(Mouse L6 IT)-like,RNAseq 59-60,CS201912132_102,L6 IT,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_59|CS201912132_60,Subclass,n70,#A19922
(Mouse L5 ET)-like,RNAseq 69-71,CS201912132_103,L5 ET,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_70|CS201912132_71|CS201912132_72,Subclass,n77,#0D5B78
(Mouse L6 CT)-like,RNAseq 72-73,CS201912132_104,L6 CT,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_73|CS201912132_74,Subclass,n80,#2D8CB8
Oligo,"RNAseq 77, 83-84",CS201912132_105,Oligodendrocyte,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_69|CS201912132_83|CS201912132_84,Subclass,,#2E3E39
Astro,RNAseq 79-82,CS201912132_106,Astrocyte,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_79|CS201912132_80|CS201912132_81|CS201912132_82,Subclass,n82,#665C47
Endo,RNAseq 85-87,CS201912132_107,Endothelial,Endo,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_85|CS201912132_86|CS201912132_87,Subclass,n88,#8D6A62
Peri,RNAseq 88-89,CS201912132_108,Pericyte,Peri,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_88|CS201912132_89,Subclass,n90,#A77C70
VLMC,RNAseq 90-93,CS201912132_109,VLMC,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_90|CS201912132_91|CS201912132_92|CS201912132_93,Subclass,n91,#697255
(Mouse MGE)-like,"RNAseq 01, 27-52",CS201912132_110,MGE,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52,No,,#ED892E
(Mouse CGE/PoA)-like,RNAseq 02-26,CS201912132_111,CGE/PoA,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26,No,,#C456AA
(Mouse IT projecting)-like,"RNAseq 53-68, 75",CS201912132_112,IT projecting,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_76,No,,
(Mouse Non-IT projecting)-like,RNAseq 69-76,CS201912132_113,Non-IT projecting,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77,No,,
Oligo-OPC,"RNAseq 77-78, 83-84",CS201912132_114,Oligodendrocyte-OPC,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_69|CS201912132_78|CS201912132_83|CS201912132_84,No,,#598077
Non-Neural,RNAseq 85-94,CS201912132_115,Non-neural,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_85|CS201912132_86|CS201912132_87|CS201912132_88|CS201912132_89|CS201912132_90|CS201912132_91|CS201912132_92|CS201912132_93|CS201912132_94,Class,,#99796B
GABAergic,RNAseq 01-52,CS201912132_116,Neuronal: GABAergic,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52,Class,,#F05A28
Glutamatergic,RNAseq 53-76,CS201912132_117,Neuronal: Glutamatergic,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77,Class,n57,#00ADEE
Non-Neuronal,RNAseq 77-84,CS201912132_118,Non-neuronal,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_69|CS201912132_78|CS201912132_79|CS201912132_80|CS201912132_81|CS201912132_82|CS201912132_83|CS201912132_84,Class,,#808080
Sst Chodl(i),"RNAseq 01, 30",CS201912132_119,Sst Chodl,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_30,No,,
(Mouse Lamp5)-like_C2,RNAseq 05-06,CS201912132_120,Lamp5_2,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_5|CS201912132_6,No,n10,
(Mouse Sncg)-like_C1,"RNAseq 09, 12",CS201912132_121,Sncg_1,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_9|CS201912132_12,No,,
(Mouse Sncg)-like_C3,RNAseq 10-11,CS201912132_122,Sncg_3,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_10|CS201912132_11,No,n19,
(Mouse Sncg)-like_C4,RNAseq 13-14,CS201912132_123,Sncg_4,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_13|CS201912132_14,No,n22,
(Mouse Vip)-like_C4,"RNAseq 15, 25",CS201912132_124,Vip_4,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_15|CS201912132_25,No,,
(Mouse Vip)-like_C2,"RNAseq 16-18, 24",CS201912132_125,Vip_2,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_24,No,,
(Mouse Vip)-like_C1,RNAseq 19-20,CS201912132_126,Vip_1,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_19|CS201912132_20,No,n27,
(Mouse Vip)-like_C3,RNAseq 21-23,CS201912132_127,Vip_3,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_21|CS201912132_22|CS201912132_23,No,n29,
(Mouse Sst)-like_C3,"RNAseq 31-36, 40, 47",CS201912132_128,Sst_3,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_40|CS201912132_47,No,,
(Mouse Pvalb)-like_C1,"RNAseq 41-46, 48-50",CS201912132_129,Pvalb_1,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_48|CS201912132_49|CS201912132_50,No,,
(Mouse L5 IT)-like_C1,"RNAseq 57-58, 61-64",CS201912132_130,L5 IT_1,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_57|CS201912132_58|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64,No,,
(Mouse L5 IT)-like_C2,RNAseq 66-68,CS201912132_131,L5 IT_2,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_66|CS201912132_67|CS201912132_68,No,n75,
(Mouse L5 ET)-like_C1,RNAseq 69-70,CS201912132_132,L5 ET_1,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_70|CS201912132_71,No,n78,
Astro_C2,RNAseq 79-81,CS201912132_133,Astro_2,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_79|CS201912132_80|CS201912132_81,No,n83,
VLMC(i),RNAseq 90-92,CS201912132_134,VLMC,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_90|CS201912132_91|CS201912132_92,No,n92,
All cells,RNAseq 01-94,CS201912132_135,,,Nikolas Jorstad,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52|CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_69|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77|CS201912132_78|CS201912132_79|CS201912132_80|CS201912132_81|CS201912132_82|CS201912132_83|CS201912132_84|CS201912132_85|CS201912132_86|CS201912132_87|CS201912132_88|CS201912132_89|CS201912132_90|CS201912132_91|CS201912132_92|CS201912132_93|CS201912132_94,No,n1,
,RNAseq 01-93,CS201912132_136,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52|CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_69|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77|CS201912132_78|CS201912132_79|CS201912132_80|CS201912132_81|CS201912132_82|CS201912132_83|CS201912132_84|CS201912132_85|CS201912132_86|CS201912132_87|CS201912132_88|CS201912132_89|CS201912132_90|CS201912132_91|CS201912132_92|CS201912132_93,No,n2,
,RNAseq 01-84,CS201912132_137,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52|CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_69|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77|CS201912132_78|CS201912132_79|CS201912132_80|CS201912132_81|CS201912132_82|CS201912132_83|CS201912132_84,No,n3,
,RNAseq 01-78,CS201912132_138,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52|CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_69|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77|CS201912132_78,No,n4,
,RNAseq 01-76,CS201912132_139,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_1|CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52|CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77,No,n5,
,RNAseq 02-76,CS201912132_140,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52|CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77,No,n6,
,RNAseq 02-06,CS201912132_141,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6,No,n7,
,RNAseq 02-03,CS201912132_142,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_2|CS201912132_3,No,n8,
,RNAseq 04-06,CS201912132_143,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_4|CS201912132_5|CS201912132_6,No,n9,
,RNAseq 07-76,CS201912132_144,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52|CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76|CS201912132_77,No,n11,
,RNAseq 07-52,CS201912132_145,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26|CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52,No,n12,
,RNAseq 07-26,CS201912132_146,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25|CS201912132_26,No,n13,
,RNAseq 07-25,CS201912132_147,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25,No,n14,
,RNAseq 07-15,CS201912132_148,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15,No,n15,
,RNAseq 07-11,CS201912132_149,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_7|CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11,No,n16,
,RNAseq 07-09,CS201912132_150,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_7|CS201912132_8|CS201912132_9,No,n17,
,RNAseq 08-09,CS201912132_151,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_8|CS201912132_9,No,n18,
,RNAseq 12-15,CS201912132_152,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_12|CS201912132_13|CS201912132_14|CS201912132_15,No,n20,
,RNAseq 12-14,CS201912132_153,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_12|CS201912132_13|CS201912132_14,No,n21,
,RNAseq 16-25,CS201912132_154,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25,No,n23,
